# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1705942320868000000,1705942380869000000,71827455
NonBlockingReadAction.finalizedExecutionTimeUs,1705942320868000000,1705942380869000000,88955
FlushQueue.executionTimeMaxNs,1705942320868000000,1705942380869000000,71827455
AWTEventQueue.eventsDispatched,1705942320868000000,1705942380869000000,560
FlushQueue.waitingTime90PNs,1705942320868000000,1705942380869000000,311295
NonBlockingReadAction.failedExecutionsCount,1705942320868000000,1705942380869000000,0
FlushQueue.queueSizeMax,1705942320868000000,1705942380869000000,5
NonBlockingReadAction.failedExecutionTimeUs,1705942320868000000,1705942380869000000,0
FlushQueue.waitingTimeMaxNs,1705942320868000000,1705942380869000000,58195967
FlushQueue.executionTime90PNs,1705942320868000000,1705942380869000000,204799
AWTEventQueue.dispatchTime90PNs,1705942320868000000,1705942380869000000,452607
FlushQueue.queueSizeAvg,1705942320868000000,1705942380869000000,0.15503875968992248
AWTEventQueue.dispatchTimeAvgNs,1705942320868000000,1705942380869000000,630291.3714285714
FlushQueue.waitingTimeAvgNs,1705942320868000000,1705942380869000000,428666.2015503876
FlushQueue.executionTimeAvgNs,1705942320868000000,1705942380869000000,454688.87596899224
FlushQueue.queueSize90P,1705942320868000000,1705942380869000000,1
NonBlockingReadAction.finalizedExecutionsCount,1705942320868000000,1705942380869000000,29
FileNameCache.totalMisses,1705942380869000000,1705942440869000000,0
FileNameCache.queries,1705942380869000000,1705942440869000000,516
FileNameCache.fastMisses,1705942380869000000,1705942440869000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705942380869000000,1705942440869000000,0
FilePageCache.maxRegisteredFiles,1705942380869000000,1705942440869000000,654
FilePageCache.maxCacheSizeInBytes,1705942380869000000,1705942440869000000,302284800
FilePageCache.disposedBuffers,1705942380869000000,1705942440869000000,0
FilePageCache.capacityInBytes,1705942380869000000,1705942440869000000,524288000
StorageLockContext.competingThreads.90P,1705942380869000000,1705942440869000000,0
FilePageCache.pageFastCacheHits,1705942380869000000,1705942440869000000,0
FilePageCache.pageHits,1705942380869000000,1705942440869000000,0
StorageLockContext.competingThreads.max,1705942380869000000,1705942440869000000,0
StorageLockContext.competingThreads.avg,1705942380869000000,1705942440869000000,0.0
FilePageCache.uncachedFileAccess,1705942380869000000,1705942440869000000,0
FilePageCache.totalPageDisposalsUs,1705942380869000000,1705942440869000000,0
DirectByteBufferAllocator.hits,1705942380869000000,1705942440869000000,0
